Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;7;04.02;04.07;01.04;Orchid-phalaenopsis
2;06.04;04.02;04.06;01.06;Orchid-phalaenopsis
3;06.09;04.01;04.09;01.06;Orchid-phalaenopsis
4;06.06;02.04;4;01.04;Orchid-phalaenopsis
5;06.06;02.08;04.06;01.06;Orchid-phalaenopsis
6;06.07;02.08;04.06;01.04;Orchid-phalaenopsis
7;06.04;04.04;04.07;01.06;Orchid-phalaenopsis
8;04.09;02.04;04.04;1;Orchid-phalaenopsis
9;06.06;02.09;04.06;01.04;Orchid-phalaenopsis
10;06.02;02.07;04.09;01.04;Orchid-phalaenopsis
11;5;2;04.06;1;Orchid-phalaenopsis
12;06.09;3;04.02;01.06;Orchid-phalaenopsis
13;6;02.02;4;1;Orchid-phalaenopsis
14;06.01;02.09;04.07;01.04;Orchid-phalaenopsis
15;06.06;02.09;04.06;01.04;Orchid-phalaenopsis
16;06.07;04.01;04.04;01.04;Orchid-phalaenopsis
17;06.06;3;04.06;01.06;Orchid-phalaenopsis
18;06.08;02.07;04.01;1;Orchid-phalaenopsis
19;06.02;02.02;04.06;01.06;Orchid-phalaenopsis
20;06.06;02.06;04.09;01.01;Orchid-phalaenopsis
21;06.09;04.02;04.08;01.08;Orchid-phalaenopsis
22;06.01;02.08;4;01.04;Orchid-phalaenopsis
23;06.04;02.06;04.09;01.06;Orchid-phalaenopsis
24;06.01;02.08;04.07;01.02;Orchid-phalaenopsis
25;06.04;02.09;04.04;01.04;Orchid-phalaenopsis
26;06.06;3;04.04;01.04;Orchid-phalaenopsis
27;06.08;02.08;04.08;01.04;Orchid-phalaenopsis
28;06.07;3;5;01.07;Orchid-phalaenopsis
29;6;02.09;04.06;01.06;Orchid-phalaenopsis
30;06.07;02.06;04.06;1;Orchid-phalaenopsis
31;06.06;02.04;04.08;01.01;Orchid-phalaenopsis
32;06.06;02.04;04.07;1;Orchid-phalaenopsis
33;06.08;02.07;04.09;01.02;Orchid-phalaenopsis
34;6;02.07;06.01;01.06;Orchid-phalaenopsis
35;06.04;3;04.06;01.06;Orchid-phalaenopsis
36;6;04.04;04.06;01.06;Orchid-phalaenopsis
37;06.07;04.01;04.07;01.06;Orchid-phalaenopsis
38;06.04;02.04;04.04;01.04;Orchid-phalaenopsis
39;06.06;3;04.01;01.04;Orchid-phalaenopsis
